ik,n,t,eps,lam_1s,E0eff_1s,lam
30,6,0.935484,0.6389757419,0.0010326054956923052,0.4109500615147245,0.0010326054956923052
30,7,0.935484,0.8351726731,0.0003551687394013635,0.31552063388836926,0.0003551687394013635
30,8,0.935484,0.9206224132,0.00027475367718393943,0.2980730066126106,0.00027475367718393943
31,1,0.967742,0.0432564304,0.0056734300302638,0.5475827855709176,0.0056734300302638
31,2,0.967742,0.152672705,0.004897623566259477,0.5434860174151624,0.004897623566259477
31,3,0.967742,0.3933841777,0.0012711330670579606,0.410303255368984,0.0012711330670579606
31,4,0.967742,0.4496868118,0.0011491499567367887,0.4049859867463005,0.0011491499567367887
31,5,0.967742,0.527792566,0.0011754780160706884,0.4124207892398207,0.0011754780160706884
31,6,0.967742,0.6393467914,0.0010360604294845572,0.41132701545537503,0.0010360604294845572
31,7,0.967742,0.8389475147,0.00034853509682069715,0.3140940403291778,0.00034853509682069715
31,8,0.967742,0.9202487379,0.00026788496426267847,0.2956146673362679,0.00026788496426267847
32,1,1.0,0.0444214835,0.005620554564226708,0.5465340633450378,0.005620554564226708
32,2,1.0,0.1510876476,0.00494542652368564,0.5444755382512656,0.00494542652368564
32,3,1.0,0.3931681994,0.0012721933689625632,0.41037478497544094,0.0012721933689625632
32,4,1.0,0.4495060803,0.001150192435248163,0.4050686917476491,0.001150192435248163
32,5,1.0,0.5275585482,0.0011764079785674345,0.4124879043462775,0.0011764079785674345
32,6,1.0,0.6394722618,0.0010372256314173428,0.41145376203361045,0.0010372256314173428
32,7,1.0,0.8402788627,0.0003461897141176302,0.31358668871426265,0.0003461897141176302
32,8,1.0,0.920110888,0.0002656101089930599,0.29478500387002676,0.0002656101089930599
